sample_idx,sample_seed,mse_orig_vs_target,mse_zero_vs_target,mse_perm_vs_target,delta_orig_vs_zero_mse,delta_orig_vs_perm_mse,delta_orig_vs_zero_mae,delta_orig_vs_perm_mae,pred_orig_rms,pred_orig_max
0,1000,0.5408880710601807,0.5405905842781067,0.5409811735153198,2.508097622921923e-06,4.7288017412938643e-07,0.0012061407323926687,0.0005205677589401603,0.9061952233314514,6.105079650878906
1,1001,0.5428110957145691,0.5423901081085205,0.5426455140113831,3.7538086417043814e-06,1.7030848766808049e-06,0.0014745536027476192,0.0009947874350473285,1.126965880393982,6.079832553863525
2,1002,0.5422763824462891,0.5419163107872009,0.5420482158660889,3.0255785077315522e-06,1.9118735963274958e-06,0.0013242214918136597,0.0010568301659077406,1.3223981857299805,5.489903450012207
3,1003,0.6238149404525757,0.6236934065818787,0.6237772703170776,2.049121121672215e-06,1.4103017065281165e-06,0.0010906222742050886,0.0009032548987306654,1.8092783689498901,6.1881866455078125
4,1004,0.5704025626182556,0.5703657269477844,0.5704864263534546,2.2966323740547523e-06,1.6101762412290554e-06,0.0011483441339805722,0.0009554247953929007,1.3633813858032227,5.581378936767578
